City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
142,Paita,PE,73.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
143,Mareeba,AU,84.99,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
144,Galle,LK,77.76,overcast clouds,6.0367,80.217,Amangalla
146,San Patricio,US,62.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Murray Bridge,AU,63.0,few clouds,-35.1167,139.2667,Balcony On Sixth Lodge
150,Bambous Virieux,MU,75.99,broken clouds,-20.3428,57.7575,Casa Tia Villa
151,Samarai,PG,84.31,broken clouds,-10.6167,150.6667,Nuli Sapi
155,Carnarvon,AU,78.57,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
156,Mazagao,BR,77.0,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
157,Puerto Del Rosario,ES,66.2,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
161,Tura,IN,70.9,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
162,Metro,ID,77.27,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
163,Lakes Entrance,AU,64.99,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
164,Hasaki,JP,66.2,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
168,Hambantota,LK,77.0,scattered clouds,6.1241,81.1185,Bungalow 63
170,Geraldton,AU,69.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
171,Manati,PR,81.0,clear sky,18.4275,-66.4921,Manati World Point Inn
172,Bengkulu,ID,77.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
173,Yarada,IN,80.6,mist,17.65,83.2667,Jeevan
175,Kaitangata,NZ,60.01,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
178,Victoria,HK,77.0,broken clouds,22.2855,114.1577,Mini Hotel Central
179,Chenzhou,CN,63.66,overcast clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
180,Saint George,US,64.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
182,Richards Bay,ZA,60.35,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
184,Port Alfred,ZA,65.59,clear sky,-33.5906,26.891,The Halyards Hotel
186,Junagarh,IN,81.21,clear sky,19.8667,82.9333,Hotel Swagat
187,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Valle Aridane
188,Airai,TL,70.83,broken clouds,-8.9266,125.4092,Juvinal Martin
189,Itarema,BR,77.95,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
193,Saucillo,MX,79.92,clear sky,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
194,Gazi,GR,75.99,scattered clouds,35.3253,25.0669,Sun Hotel
195,Mogadishu,SO,82.72,few clouds,2.0371,45.3438,Hotel Juba
196,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
197,Maningrida,AU,84.09,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
201,Namibe,AO,82.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
203,Buritis,BR,69.69,broken clouds,-15.6178,-46.4233,Hotel Rainha do Vale
206,Alofi,NU,82.4,clear sky,-19.0595,-169.9187,Taloa Heights
209,Half Moon Bay,US,60.8,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
212,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
213,Ugoofaaru,MV,83.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
214,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
216,Garmsar,IR,66.96,overcast clouds,35.2182,52.3409,Peyvand Hotel
217,Eregli,TR,62.28,overcast clouds,37.5133,34.0467,Hotel Fuat Bey
220,Caravelas,BR,73.78,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
227,Beira,MZ,71.6,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
228,Gilbues,BR,71.44,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
229,Korla,CN,62.38,overcast clouds,41.7597,86.1469,Gulisitan Hotel
230,Nabire,ID,80.35,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
232,Cukai,MY,75.2,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
234,San Ramon,US,82.4,clear sky,37.7799,-121.978,San Ramon Marriott
238,Aden,YE,80.37,clear sky,12.7794,45.0367,Sama Emirate Hotel
