City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Granadilla De Abona,ES,2021-04-16 20:42:09,28.1188,-16.576,69.01,64,20,10.36
68,Aron,IN,2021-04-16 20:42:10,24.3833,77.4167,84.45,23,59,8.59
69,Kapaa,US,2021-04-16 20:30:52,22.0752,-159.319,73.4,78,1,8.05
70,Santa Quiteria Do Maranhao,BR,2021-04-16 20:42:10,-3.5156,-42.5467,76.84,90,100,2.24
71,Tual,ID,2021-04-16 20:39:01,-5.6667,132.75,82.99,70,98,13.85
72,Dhidhdhoo,MV,2021-04-16 20:38:31,6.8833,73.1,84.15,67,100,2.42
73,Lorengau,PG,2021-04-16 20:42:11,-2.0226,147.2712,81.73,77,100,6.35
74,Mushie,CD,2021-04-16 20:42:11,-3.0167,16.9,74.55,89,71,3.53
75,Hasaki,JP,2021-04-16 20:32:25,35.7333,140.8333,55.4,88,75,4.61
76,Lavrentiya,RU,2021-04-16 20:42:12,65.5833,-171.0,31.66,92,96,9.69
77,Klaksvik,FO,2021-04-16 20:32:19,62.2266,-6.589,46.4,100,75,14.97
78,Jamestown,US,2021-04-16 20:37:22,42.097,-79.2353,39.0,93,90,17.27
79,Codrington,AU,2021-04-16 20:32:39,-38.2667,141.9667,51.58,76,100,6.69
80,Butaritari,KI,2021-04-16 20:42:12,3.0707,172.7902,81.64,75,100,8.05
81,Aswan,EG,2021-04-16 20:32:48,24.0934,32.907,83.17,9,0,7.49
82,Smithers,CA,2021-04-16 20:37:54,54.7804,-127.1743,62.6,34,1,4.61
83,Leningradskiy,RU,2021-04-16 20:42:13,69.3833,178.4167,31.84,81,100,5.46
84,Qaanaaq,GL,2021-04-16 20:34:21,77.484,-69.3632,5.02,73,0,4.34
85,Bredasdorp,ZA,2021-04-16 20:42:14,-34.5322,20.0403,57.2,77,0,10.36
86,Cabo San Lucas,MX,2021-04-16 20:30:02,22.8909,-109.9124,84.99,30,40,16.11
87,Pangnirtung,CA,2021-04-16 20:32:31,66.1451,-65.7125,5.0,72,20,14.97
88,Imuris,MX,2021-04-16 20:42:14,30.7833,-110.8667,75.99,15,96,11.5
89,Norman Wells,CA,2021-04-16 20:37:55,65.282,-126.8329,42.8,56,40,4.61
90,Sorland,NO,2021-04-16 20:32:57,67.667,12.6934,41.0,93,40,6.91
91,Bombay,IN,2021-04-16 20:38:08,19.0144,72.8479,82.4,83,0,4.61
92,Mahebourg,MU,2021-04-16 20:42:15,-20.4081,57.7,78.8,89,75,5.75
93,Airai,TL,2021-04-16 20:42:15,-8.9266,125.4092,57.49,86,53,2.62
94,Cabedelo,BR,2021-04-16 20:42:16,-6.9811,-34.8339,80.6,94,20,8.05
95,Kavieng,PG,2021-04-16 20:42:16,-2.5744,150.7967,80.17,79,100,8.52
96,Kununurra,AU,2021-04-16 20:32:36,-15.7667,128.7333,68.0,88,82,4.61
97,Kruisfontein,ZA,2021-04-16 20:33:11,-34.0033,24.7314,62.01,64,0,8.99
98,Ibanda,TZ,2021-04-16 20:42:17,-2.7974,32.4746,63.9,97,97,4.79
99,Gamba,GA,2021-04-16 20:42:17,-2.65,10.0,78.75,87,90,4.21
100,Tarko-Sale,RU,2021-04-16 20:42:17,64.9225,77.785,12.0,80,100,1.01
101,Phuthaditjhaba,ZA,2021-04-16 20:42:18,-28.5242,28.8158,42.12,90,14,5.1
102,Valparaiso,CL,2021-04-16 20:42:06,-33.0393,-71.6273,57.2,100,20,4.61
103,Uwajima,JP,2021-04-16 20:42:18,33.2238,132.56,58.06,95,100,5.64
104,Barrow,US,2021-04-16 20:31:45,71.2906,-156.7887,8.6,78,1,10.36
105,Cherskiy,RU,2021-04-16 20:33:05,68.75,161.3,8.04,93,77,6.98
106,Jalu,LY,2021-04-16 20:42:19,29.0331,21.5482,86.81,12,3,14.23
107,Malya,TZ,2021-04-16 20:42:19,-2.9833,33.5167,63.45,97,94,6.69
108,Luderitz,NA,2021-04-16 20:32:23,-26.6481,15.1594,76.51,42,99,2.17
109,Paamiut,GL,2021-04-16 20:42:20,61.994,-49.6678,17.38,74,70,23.17
110,Myaundzha,RU,2021-04-16 20:42:20,63.0494,147.1858,-1.86,94,38,3.51
111,Arraial Do Cabo,BR,2021-04-16 20:42:20,-22.9661,-42.0278,78.8,61,0,12.66
112,Talnakh,RU,2021-04-16 20:42:21,69.4865,88.3972,-9.15,99,100,3.69
113,Torbay,CA,2021-04-16 20:42:21,47.6666,-52.7314,34.0,93,90,19.57
114,Georgetown,MY,2021-04-16 20:42:22,5.4112,100.3354,77.0,88,40,6.91
115,Damaturu,NG,2021-04-16 20:42:22,11.747,11.9608,83.73,7,24,9.22
116,Henties Bay,NA,2021-04-16 20:42:22,-22.116,14.2845,71.55,66,96,8.12
117,Gizo,SB,2021-04-16 20:42:23,-8.103,156.8419,82.58,76,98,6.67
118,Mandalgovi,MN,2021-04-16 20:42:23,45.7625,106.2708,30.83,33,0,7.85
119,Makurdi,NG,2021-04-16 20:42:23,7.7411,8.5121,86.56,61,100,10.54
120,Pisco,PE,2021-04-16 20:42:24,-13.7,-76.2167,73.4,73,0,6.91
121,Puerto Ayora,EC,2021-04-16 20:32:42,-0.7393,-90.3518,82.4,78,40,14.97
122,Natal,BR,2021-04-16 20:39:03,-5.795,-35.2094,84.2,74,40,12.66
123,Vilhena,BR,2021-04-16 20:42:24,-12.7406,-60.1458,73.4,100,75,8.05
124,Fujin,CN,2021-04-16 20:42:25,47.26,132.0322,40.64,86,100,1.57
125,Saint George,US,2021-04-16 20:42:25,37.1041,-113.5841,69.01,20,1,4.07
126,Castro,BR,2021-04-16 20:37:39,-24.7911,-50.0119,65.16,66,80,3.06
127,Yanam,IN,2021-04-16 20:42:26,16.7333,82.2167,78.21,80,0,2.13
128,Tuktoyaktuk,CA,2021-04-16 20:32:31,69.4541,-133.0374,17.6,93,75,3.44
129,Geraldton,AU,2021-04-16 20:42:26,-28.7667,114.6,64.4,45,60,8.05
130,Suluq,LY,2021-04-16 20:42:26,31.6682,20.2521,82.63,18,100,17.34
131,Bambari,CF,2021-04-16 20:42:27,5.768,20.6757,84.58,34,82,3.56
132,Belyy Yar,RU,2021-04-16 20:42:27,53.6039,91.3903,48.2,46,0,13.42
133,Zhigansk,RU,2021-04-16 20:42:27,66.7697,123.3711,19.44,87,100,18.37
134,Guerrero Negro,MX,2021-04-16 20:32:58,27.9769,-114.0611,66.11,57,2,21.16
135,Vanderhoof,CA,2021-04-16 20:42:14,54.0166,-124.0198,52.16,71,98,3.0
136,Dingle,PH,2021-04-16 20:42:28,10.9995,122.6711,76.46,88,84,5.03
