City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Mount Isa,AU,-20.7333,139.5,75.2,31,0,16.11,clear sky
79,Hannibal,US,39.7084,-91.3585,52.0,71,90,8.05,overcast clouds
80,Grand Gaube,MU,-20.0064,57.6608,75.99,88,29,1.99,scattered clouds
81,Taoudenni,ML,22.6783,-3.9836,82.2,15,0,8.3,clear sky
82,Vila Velha,BR,-20.3297,-40.2925,77.0,100,90,8.05,overcast clouds
83,Walvis Bay,NA,-22.9575,14.5053,87.8,23,100,12.66,overcast clouds
84,Rodrigues Alves,BR,-7.738,-72.6509,73.15,98,100,2.86,overcast clouds
85,Vrangel,RU,42.7297,133.0839,48.56,51,100,16.28,overcast clouds
86,Kushima,JP,31.4583,131.2333,57.2,47,40,19.57,scattered clouds
87,Chokurdakh,RU,70.6333,147.9167,17.91,84,100,5.73,overcast clouds
88,Wattegama,LK,6.7989,81.4808,77.0,100,40,3.44,scattered clouds
89,Casma,CL,-41.0082,-73.1244,57.2,85,75,3.44,broken clouds
90,Kavieng,PG,-2.5744,150.7967,83.53,73,81,9.98,light rain
91,Lebu,CL,-37.6167,-73.65,55.15,91,100,2.26,overcast clouds
92,Bilma,NE,18.6853,12.9164,85.41,8,100,7.52,overcast clouds
93,Rzhaksa,RU,52.1338,42.0264,40.44,90,0,4.14,clear sky
94,Busselton,AU,-33.65,115.3333,66.42,58,0,6.46,clear sky
95,Flinders,AU,-34.5833,150.8552,69.01,67,10,3.0,clear sky
96,Bluff,NZ,-46.6,168.3333,57.99,76,90,8.01,overcast clouds
97,Valparaiso,CL,-33.0393,-71.6273,57.2,88,90,5.75,haze
98,Kalofer,BG,42.6167,24.9833,44.01,90,100,1.57,overcast clouds
99,Avera,US,33.194,-82.5271,69.8,49,1,4.99,clear sky
100,Ikalamavony,MG,-21.15,46.5833,59.36,81,41,9.89,scattered clouds
101,Moron,AR,-34.6534,-58.6198,72.0,91,26,1.99,scattered clouds
102,Manjacaze,MZ,-24.7117,33.8828,61.88,78,44,1.32,scattered clouds
103,Vao,NC,-22.6667,167.4833,74.93,77,24,18.1,few clouds
104,Srednekolymsk,RU,67.45,153.6833,32.58,76,17,20.36,few clouds
105,Avarua,CK,-21.2078,-159.775,82.4,69,20,6.91,light rain
106,Pisco,PE,-13.7,-76.2167,66.99,88,0,18.41,clear sky
107,Dymer,UA,50.7865,30.3026,39.99,100,76,4.47,fog
108,Merauke,ID,-8.4667,140.3333,75.54,96,100,2.39,overcast clouds
109,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,29,3.0,scattered clouds
110,Takoradi,GH,4.8845,-1.7554,79.93,82,100,7.2,light rain
111,Mana,GF,5.6592,-53.7767,78.51,78,57,12.8,broken clouds
112,Fairbanks,US,64.8378,-147.7164,53.6,30,1,9.22,clear sky
113,Mar Del Plata,AR,-38.0023,-57.5575,66.99,100,90,4.61,overcast clouds
114,Hueyapan,MX,18.8667,-98.6667,77.0,15,40,21.85,scattered clouds
115,Pringsewu,ID,-5.3582,104.9744,76.87,89,48,2.28,scattered clouds
116,Charters Towers,AU,-20.1,146.2667,80.85,50,6,13.58,clear sky
117,Albany,US,42.6001,-73.9662,46.0,74,89,2.84,overcast clouds
118,Port Lincoln,AU,-34.7333,135.8667,64.06,53,6,5.1,clear sky
119,Clyde River,CA,70.4692,-68.5914,6.8,85,90,14.97,light snow
120,Malanje,AO,-9.5402,16.341,62.96,97,90,3.38,overcast clouds
121,Quiindy,PY,-25.9667,-57.2667,70.23,77,2,5.86,clear sky
122,Coruripe,BR,-10.1256,-36.1756,76.53,83,100,6.04,overcast clouds
123,Taltal,CL,-25.4,-70.4833,64.67,78,11,5.46,few clouds
124,Esperance,AU,-33.8667,121.9,59.0,77,0,12.66,clear sky
125,Ribeira Grande,PT,38.5167,-28.7,62.08,90,24,13.13,few clouds
126,Bahia De Caraquez,EC,-0.6,-80.4167,78.8,78,75,10.36,light rain
127,Ondangwa,NA,-17.9167,15.95,68.0,52,42,4.61,scattered clouds
128,Nikolskoye,RU,59.7035,30.7861,46.4,39,0,4.47,clear sky
129,Guerrero Negro,MX,27.9769,-114.0611,61.54,71,0,21.0,clear sky
130,Svetlyy,RU,54.675,20.1347,42.8,93,0,4.47,clear sky
131,Georgetown,MY,5.4112,100.3354,80.6,89,20,2.3,few clouds
132,Auki,SB,-8.7676,160.7034,85.59,66,99,1.99,overcast clouds
133,Luderitz,NA,-26.6481,15.1594,77.83,38,7,7.94,clear sky
134,Port-Gentil,GA,-0.7193,8.7815,77.0,83,90,4.61,overcast clouds
